学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
四川大学,临床医学（Ⅷ）（口腔）（江安校区）,686,687,690,2020,理科,本科一批,301,529,临床医学类
四川大学,临床医学（Ⅷ）（八年）（江安校区）,678,681,686,2020,理科,本科一批,747,529,临床医学类
四川大学,口腔医学（V）（五年）（江安校区）,669,675,684,2020,理科,本科一批,1572,529,口腔医学类
四川大学,临床医学（V）（五年）（江安校区）,661,666,676,2020,理科,本科一批,2783,529,临床医学类
四川大学,数学与应用数学（数学经济学双学士学位）（江安校区）,659,661,664,2020,理科,本科一批,3119,529,数学类
四川大学,数学与应用数学（基地班）（江安校区）,657,660,670,2020,理科,本科一批,3485,529,数学类
四川大学,口腔医学技术（江安校区）,655,655,655,2020,理科,本科一批,3907,529,医学技术类
四川大学,数学类（江安校区）（包含专业:数学与应用数学、信息与计算科学、统计学）,654,656,660,2020,理科,本科一批,4111,529,数学类
四川大学,法医学（V）（法医学与法学双学士学位）（江安校区）,649,654,658,2020,理科,本科一批,5255,529,法医学类
四川大学,计算机类（江安校区）（包含专业:计算机科学与技术、物联网工程、人工智能）,649,653,661,2020,理科,本科一批,5255,529,计算机类
四川大学,基础医学（V）（基地班）（江安校区）,649,653,659,2020,理科,本科一批,5255,529,基础医学类
四川大学,"会计学（ACCA）（望江校区）（专业备注:该专业对收费有特殊要求,详见院校招生章程.）",648,653,661,2020,理科,本科一批,5512,529,工商管理类
四川大学,生物科学（计算生物学双学士学位）（江安校区）,648,653,659,2020,理科,本科一批,5512,529,生物科学类
四川大学,临床药学（V）（江安校区）,648,654,659,2020,理科,本科一批,5512,529,药学类
四川大学,"法语（江安校区）（招收英语,法语语种考生）",648,654,661,2020,理科,本科一批,5512,529,外国语言文学类
四川大学,金融学类（江安校区）（包含专业:金融学、金融工程）,648,652,662,2020,理科,本科一批,5512,529,金融学类
四川大学,中国语言文学类（江安校区）（包含专业:汉语言文学、汉语国际教育）,647,651,660,2020,理科,本科一批,5776,529,中国语言文学类
四川大学,软件工程（江安校区）,647,650,665,2020,理科,本科一批,5776,529,计算机类
四川大学,物理学类（江安校区）（包含专业:物理学、物理学（基地班））,647,652,664,2020,理科,本科一批,5776,529,物理学类
四川大学,网络空间安全（江安校区）,645,648,659,2020,理科,本科一批,6320,529,计算机类
