学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
四川大学,临床医学,686,687,690,2020,理科,本科一批,301,529,临床医学类
四川大学,临床医学,678,681,686,2020,理科,本科一批,747,529,临床医学类
四川大学,口腔医学,669,675,684,2020,理科,本科一批,1572,529,口腔医学类
四川大学,临床医学,661,666,676,2020,理科,本科一批,2783,529,临床医学类
四川大学,数学与应用数学,659,661,664,2020,理科,本科一批,3119,529,数学类
四川大学,数学与应用数学,657,660,670,2020,理科,本科一批,3485,529,数学类
四川大学,口腔医学技术,655,655,655,2020,理科,本科一批,3907,529,医学技术类
四川大学,数学类,654,656,660,2020,理科,本科一批,4111,529,数学类
四川大学,法医学,649,654,658,2020,理科,本科一批,5255,529,法医学类
四川大学,计算机类,649,653,661,2020,理科,本科一批,5255,529,计算机类
四川大学,基础医学,649,653,659,2020,理科,本科一批,5255,529,基础医学类
四川大学,会计学,648,653,661,2020,理科,本科一批,5512,529,工商管理类
四川大学,生物科学,648,653,659,2020,理科,本科一批,5512,529,生物科学类
四川大学,临床药学,648,654,659,2020,理科,本科一批,5512,529,药学类
四川大学,法语,648,654,661,2020,理科,本科一批,5512,529,外国语言文学类
四川大学,金融学类,648,652,662,2020,理科,本科一批,5512,529,金融学类
四川大学,中国语言文学类,647,651,660,2020,理科,本科一批,5776,529,中国语言文学类
四川大学,软件工程,647,650,665,2020,理科,本科一批,5776,529,计算机类
四川大学,物理学类,647,652,664,2020,理科,本科一批,5776,529,物理学类
四川大学,网络空间安全,645,648,659,2020,理科,本科一批,6320,529,计算机类
四川大学,经济学类,645,649,656,2020,理科,本科一批,6320,529,经济学类
四川大学,口腔医学技术,645,653,659,2020,理科,本科一批,6320,529,医学技术类
四川大学,电子信息类,644,646,652,2020,理科,本科一批,6615,529,电子信息类
四川大学,英语,644,648,661,2020,理科,本科一批,6615,529,外国语言文学类
四川大学,西班牙语,644,648,652,2020,理科,本科一批,6615,529,外国语言文学类
四川大学,预防医学,644,648,659,2020,理科,本科一批,6615,529,公共卫生与预防医学类
四川大学,新闻传播学类,643,646,650,2020,理科,本科一批,6907,529,新闻传播学类
四川大学,法学,643,648,662,2020,理科,本科一批,6907,529,法学类
四川大学,信息资源管理,642,643,645,2020,理科,本科一批,7228,529,图书情报与档案管理类
四川大学,公共管理类,642,643,643,2020,理科,本科一批,7228,529,公共管理类
四川大学,法医学,642,645,652,2020,理科,本科一批,7228,529,法医学类
四川大学,微电子科学与工程,642,646,653,2020,理科,本科一批,7228,529,电子信息类
四川大学,生物医学工程,642,647,658,2020,理科,本科一批,7228,529,生物医学工程类
四川大学,食品卫生与营养学,641,643,651,2020,理科,本科一批,7522,529,公共卫生与预防医学类
四川大学,医学技术类,641,644,649,2020,理科,本科一批,7522,529,医学技术类
四川大学,日语,641,641,641,2020,理科,本科一批,7522,529,外国语言文学类
四川大学,电气工程及其自动化,641,645,664,2020,理科,本科一批,7522,529,电气类
四川大学,历史学类,640,643,646,2020,理科,本科一批,7838,529,历史学类
四川大学,药学,640,644,654,2020,理科,本科一批,7838,529,药学类
四川大学,国际政治,640,642,643,2020,理科,本科一批,7838,529,政治学类
四川大学,工程力学,640,642,645,2020,理科,本科一批,7838,529,力学类
四川大学,建筑学,640,642,645,2020,理科,本科一批,7838,529,建筑类
四川大学,自动化,640,642,651,2020,理科,本科一批,7838,529,自动化类
四川大学,环境工程,639,641,646,2020,理科,本科一批,8166,529,环境科学与工程类
四川大学,工商管理类,639,642,652,2020,理科,本科一批,8166,529,工商管理类
四川大学,生物科学类,639,644,656,2020,理科,本科一批,8166,529,生物科学类
四川大学,土木工程,639,640,644,2020,理科,本科一批,8166,529,土木类
四川大学,航空航天类,639,642,655,2020,理科,本科一批,8166,529,航空航天类
四川大学,核工程与核技术,638,641,645,2020,理科,本科一批,8497,529,核工程类
四川大学,化学类,638,642,652,2020,理科,本科一批,8497,529,化学类
四川大学,口腔医学,686,689,692,2021,理科,本科一批,291,521,口腔医学类
四川大学,口腔医学,676,681,686,2021,理科,本科一批,742,521,口腔医学类
四川大学,临床医学,672,677,686,2021,理科,本科一批,993,521,临床医学类
四川大学,口腔医学,666,670,676,2021,理科,本科一批,1475,521,口腔医学类
四川大学,临床医学,656,661,671,2021,理科,本科一批,2600,521,临床医学类
四川大学,数学与应用数学,653,656,660,2021,理科,本科一批,3034,521,数学类
四川大学,数学与应用数学,650,653,662,2021,理科,本科一批,3497,521,数学类
四川大学,网络空间安全,649,652,655,2021,理科,本科一批,3660,521,计算机类
四川大学,核工程与核技术,645,645,645,2021,理科,本科一批,4411,521,核工程类
四川大学,数学类,644,647,653,2021,理科,本科一批,4628,521,数学类
四川大学,土木工程,644,645,645,2021,理科,本科一批,4628,521,土木类
四川大学,计算机类,643,646,659,2021,理科,本科一批,4814,521,计算机类
四川大学,生物科学,643,646,648,2021,理科,本科一批,4814,521,生物科学类
四川大学,法医学,643,645,647,2021,理科,本科一批,4814,521,法医学类
四川大学,药学,641,641,642,2021,理科,本科一批,5236,521,药学类
四川大学,基础医学,641,647,651,2021,理科,本科一批,5236,521,基础医学类
四川大学,软件工程,641,644,655,2021,理科,本科一批,5236,521,计算机类
四川大学,临床药学,640,647,655,2021,理科,本科一批,5455,521,药学类
四川大学,网络空间安全,640,641,651,2021,理科,本科一批,5455,521,计算机类
四川大学,中国语言文学类,640,643,648,2021,理科,本科一批,5455,521,中国语言文学类
四川大学,会计学,639,644,654,2021,理科,本科一批,5700,521,工商管理类
四川大学,电子信息类,638,640,652,2021,理科,本科一批,5952,521,电子信息类
四川大学,生物医学工程,638,640,643,2021,理科,本科一批,5952,521,生物医学工程类
四川大学,航空航天类,638,640,647,2021,理科,本科一批,5952,521,航空航天类
四川大学,医学技术类,638,640,642,2021,理科,本科一批,5952,521,医学技术类
四川大学,西班牙语,638,643,648,2021,理科,本科一批,5952,521,外国语言文学类
四川大学,金融学类,638,641,648,2021,理科,本科一批,5952,521,金融学类
四川大学,口腔医学技术,638,640,643,2021,理科,本科一批,5952,521,医学技术类
四川大学,物理学类,638,642,651,2021,理科,本科一批,5952,521,物理学类
四川大学,法学,638,644,651,2021,理科,本科一批,5952,521,法学类
四川大学,预防医学,638,640,644,2021,理科,本科一批,5952,521,公共卫生与预防医学类
四川大学,微电子科学与工程,638,640,653,2021,理科,本科一批,5952,521,电子信息类
四川大学,法语,638,639,642,2021,理科,本科一批,5952,521,外国语言文学类
四川大学,生物科学类,637,642,656,2021,理科,本科一批,6204,521,生物科学类
四川大学,口腔医学技术,637,643,649,2021,理科,本科一批,6204,521,医学技术类
四川大学,食品卫生与营养学,637,640,642,2021,理科,本科一批,6204,521,公共卫生与预防医学类
四川大学,预防医学,637,639,645,2021,理科,本科一批,6204,521,公共卫生与预防医学类
四川大学,环境工程,637,637,637,2021,理科,本科一批,6204,521,环境科学与工程类
四川大学,新闻传播学类,637,641,654,2021,理科,本科一批,6204,521,新闻传播学类
四川大学,医学技术类,637,639,647,2021,理科,本科一批,6204,521,医学技术类
四川大学,电气类,637,639,654,2021,理科,本科一批,6204,521,电气类
四川大学,工商管理类,637,639,644,2021,理科,本科一批,6204,521,工商管理类
四川大学,经济学类,637,640,656,2021,理科,本科一批,6204,521,经济学类
四川大学,法医学,637,644,655,2021,理科,本科一批,6204,521,法医学类
